,会社名,初年度年収,勤務地
60,ファイブ・スターズ・ファクトリー株式会社 | 急成長企業！事業拡大に伴う増員募集！◎転勤なし ◎残業少なめ,300万円～1000万円,＜転勤なし/マイカー通勤OK/UIターン歓迎＞ 居住地や希望に応じて本社(鹿児島市)、宮崎営業所(…
61,株式会社リグランツ | 「とある工務店」が業績好調｜転勤無｜大阪府緊急雇用対策に賛同,,【大阪市内の本社または『とある工務店』の配属になります】 ※転勤なし ※UIターン歓迎 ※希望や適…
62,株式会社Ｃ－スピリット,,【事務所】神奈川県川崎市中原区小杉町3-436（「武蔵小杉」駅より徒歩5分） 【配送エリア】東京・…
63,有限会社工友電設 | 残業原則なし/年100万円以上貯めている先輩も,300万円～400万円,新潟県新潟市中央区山二ツ422番の1 《マイカー通勤OK！Uターン/Iターン歓迎》
64,東豊製菓株式会社 | ポテトフライはだがしアニメに登場『ポッチくん』が話題沸騰,300万円～400万円,【転勤なし／豊橋駅より車17分・運動公園前駅より徒歩8分】 愛知県豊橋市春日町1丁目156番地 ※…
65,株式会社HG・ロジック | |.. 大型免許　平均月収40万円 ..| | 夜間走行なし／未経験歓迎,400万円～450万円,【大阪・京都いずれかのプラント勤務】 ※ 転勤なし・UIターン歓迎 ※ マイカー通勤可 ★普通免許…
66,株式会社ウラノ | インフラ事業で業績好調｜資格手当で月々の収入が着実にアップ,,【転勤なし】【マイカー通勤OK(無料駐車場あり)】 静岡県磐田市森下26番地
67,株式会社レオ工業 | あなたはどっち派？『プライベート重視派』or『ガッツリ稼ぐ派』,250万円～400万円,《転勤なし＆マイカー通勤OK♪無料駐車場あり／U・Iターンも大歓迎！》 本社／愛媛県松山市安城寺町…
68,豊中機工株式会社 | ゴルフ場用芝刈り機などを取り扱う専門商社/土日祝休/年休125日,,※転勤なし ※バイク・自転車通勤OK（マイカー通勤要相談） ◆本社 大阪府豊中市庄内宝町2-1-5…
69,株式会社ビスク | 雑貨店UniversalDRIVE／GrandeMaree／PRESENT PRESENT 等,,▼希望・適性を考慮し、直営店各店舗へ配属します。 （主に東京・千葉・神奈川等の関東圏） 東京 東京…
70,株式会社石橋商店 | コロナ禍でも安定成長中！腰を据えて働ける環境があります！,350万円～450万円,★転勤なし！／マイカー通勤OK！ 千葉県成田市伊能330番地 ※JR成田線「大戸駅」より車で16分
71,株式会社ケーシーエス | 未経験OK/完全週休2日/月収45万円も可/普通免許があれば応募OK！,,【転勤なし／マイカー通勤OK！】 本社：大阪府岸和田市岸の丘町二丁目2番15号 （車両駐車場：大阪…
72,株式会社ワークナビ.com | [創業以来売り上げ増加中]■2021年ベストベンチャー100に選出！,450万円～600万円,【 選べる勤務地 】 名古屋市(瑞穂区、熱田区、西区）・小牧市・大府市・一宮市 ※転勤なし ※直行…
73,株式会社セントラルアークス | 【大阪府緊急雇用対策に賛同】,300万円～600万円,本社／福岡県福岡市博多区東光1丁目3番10号 ※転勤はありません。I・Uターン、歓迎です。 博多駅…
74,株式会社スズキレピオ | ★グループ売上500億円以上！レピオグループの安定基盤あり★,300万円～500万円,「イオンモールつくば」敷地内のキレイなショールーム勤務！ ◎マイカー通勤OK！ガソリン代支給♪ 【…
75,株式会社利久 | *未経験OK*賞与年2回*残業代全額支給*住宅手当あり*新店続々OPEN,300万円～500万円,東北・関東・関西・九州の各拠点（転勤なし） ※希望は最大限考慮！ ※U・Iターン歓迎！ 【店長候補…
76,株式会社ダストトライ | 異業種から歓迎／資格取得支援／メリハリある働き方／定着率◎,380万円～500万円,大阪府堺市北区北花田町4-102-4-302
77,株式会社アイ・エム・シー | 【9年連続黒字経営】★完全週休2日制(土日祝)＆年間休日121日,300万円～450万円,千葉県(千葉市)、愛知県(稲沢市)、兵庫県(神戸市・加古川市・高砂市)、のいずれかに配属 ☆勤務地…
78,株式会社ニューアート・シーマ | 未経験歓迎／業界トップクラスの給与水準／駅から徒歩2分,,〒890-0053鹿児島県鹿児島市中央町1番地1　アミュプラザ鹿児島1階 ※2021年6月25日…
79,株式会社ニューアート・シーマ | 日本初のブライダルジュエリー専門店　銀座ダイヤモンドシライシ,,〒920−0981　石川県金沢市片町1-3-8 ※マイカー通勤も可能(応相談)
80,株式会社テスコ | 【 新規事業も展開中 】◎成長企業だからポストチャンスも豊富！,300万円～350万円,【 転勤なし／車・バイク通勤可（無料駐車場完備）】 ◆本社：愛知県豊明市阿野町惣作25-1
81,株式会社かまとり住宅 | 設立23年目の安定企業／千葉県内トップクラスの知名度★,300万円～500万円,◆転勤なし ◆駅チカ徒歩5分以内 【ピタットハウス千葉中央店（本社）】 千葉県中央区中央4-17-…
82,株式会社フリックス | 9割以上が未経験/面接1回のみ/即日勤務OK/週払い・日払いも可★,500万円～1000万円,直行直帰ＯＫ！ 【配送エリア】 東京都日野市・東京都八王子市・東京都多摩市など多摩エリア全域 ★お…
83,株式会社冷和 | 《家族を大切にできる》希望日お休みOK！平均有給取得は12.1日,300万円～610万円,千葉県柏市戸張912 ※マイカー通勤OK
84,"第一交通株式会社 | 【上場企業""第一交通産業グループ""】年収450万円以上も可能",,兵庫県（神戸市・姫路市・相生市・尼崎市） 好きな地域でお仕事！ 【神戸営業所】兵庫県神戸市東灘区深…
85,株式会社日本ハウスホールディングス | 東証一部上場／檜づくりの木造住宅／グッドデザイン賞受賞歴11回,320万円～400万円,仙台支店または郡山支店での勤務となります。 ■仙台支店 宮城県仙台市若林区遠見塚2-4‐1 遠見塚…
86,株式会社トラスト | 【コロナの影響なし！安心＆安定の経営基盤】※即勤務も可能！,,【名古屋（伏見駅）での募集！】 ※U・Iターン歓迎 ※駅近＆アクセス抜群 名古屋営業所 愛知県名古…
87,"株式会社TOMIYO JOB | 人材派遣業界の型にはまらない""新しいビジネス""を展開しています",350万円～550万円,福岡市、中津市、鳥栖市、佐賀市、熊本県菊池郡いずれかの勤務地 ※転勤なし＆希望の勤務地への配属をお…
88,日証貿株式会社 | 【創業43年の安定基盤】土日祝休/年休124日以上/有給取得100％,360万円～500万円,★「神田」「小伝馬町」など複数路線からのアクセスが便利！◎転勤なし 【本社】 東京都千代田区神田美…
89,株式会社L&H | 土地・建物の測量のプロ集団☆賞与年3回☆残業10H程度／月,,【転勤なし・マイカー通勤OK】 岩手県盛岡市中央通2-2-11
90,株式会社レソリューション | 自動車業界人材会社業績No.1,300万円～600万円,＜全国各地の勤務地から選択可能＞ ・UIターン歓迎 ・地元で働けます ◆3000ヶ所以上から、希望…
91,昭和冷蔵株式会社 | ＜コロナ禍でも毎日安定した仕事量＝2020年賞与実績満額支給！＞,350万円～550万円,◆転勤なし！静岡県牧之原市 ※マイカー通勤OK！無料駐車場完備です。 静岡県牧之原市白井745-4…
92,宮本急送有限会社 | ＼ 女性ドライバーも活躍中 ／あなたの理想の働き方が実現できる,,飯塚市（ 目尾、大分 ）、鞍手郡（ 鞍手町 ） いずれかの希望勤務地 ※マイカー通勤OK ※U・I…
93,法成寺運輸株式会社 | 最近も未経験から20・30代の社員が入社★1年目で月収40万円可能,350万円～600万円,《 エリア採用のため転勤なし 》 希望に応じて、広島／山口／岡山／神奈川／東京／宮城／大阪いずれか…
94,鶴信運輸株式会社 | 最近も未経験から20・30代の社員が入社★1年目で月収40万円可能,350万円～600万円,《 転勤なし！車通勤OK 》 希望に応じて、本社(岡山県岡山市)／津山市／広島県広島市／兵庫県加西…
95,株式会社ファインケメティックス | ★化粧品のOEM製造を手掛けて60年超の老舗企業★完休2日(土日),,本社／東京都中央区日本橋堀留町2-3-14 堀留ＴＨビル 5階 ≪アクセス≫ 東京メトロ日比谷線「…
96,株式会社E&Eテクノサービス | 原則定時退社／完全週休2日（土日）／賞与年3回／福利厚生充実,250万円～400万円,《転居を伴う転勤なし。県外からのU・Iターンも歓迎！》 茨城県東海村または大洗町 （茨城県内の国立…
97,株式会社大平基礎 | 17時には工事終了。残業少なめで月収26万円以上も目指せます！,,＼ 転勤なし・UIターン歓迎・マイカー通勤OK！／ 福岡県福岡市博多区西月隈1-10-16 ※無料…
98,株式会社SUN PRINTECH | 【大阪府緊急雇用対策に賛同】★閑散期は週休3日！★転勤なし,320万円～400万円,≪転勤なし／車・バイク通勤OK♪≫ ★本社／大阪府岸和田市下池田町1-6-10 ＊U・Iターンも大…
99,大槻保険事務所 | ★「アフラック生命保険」代理店★「メットライフアリコ」取扱店,,《転勤なし&U・Iターン歓迎&マイカー通勤OK》 ◆栃木県日光市瀬川717-25 ★1日に1回出社…
100,株式会社キービット | 週休2日制(3日休みの週もあり♪)／キャリアアップのチャンス豊富,,【「鹿児島中央」駅 のすぐ近く！】 鹿児島市上之園町24−2 第12川北ビルボイス鹿児島404号…
101,株式会社晴伝社 | ★マイナビからも1名入社済み！★今後需要が高まる5Gの通信工事,,福岡県福岡市博多区那珂3丁目21-45 ※転勤なし ※マイカー通勤OK ※直行直帰勤務あり。九州内…
102,株式会社ラン・プロジェクト | 某バイク雑誌に掲載中★直近6年退職者ゼロ ★笑顔が絶えない会社,,【マイカー通勤OK／U・Iターン歓迎】 ●岐阜県養老郡養老町大場661-1 エリアは東海3県が中心…
103,株式会社ジェイエムエー | 採用祝い金あり/前払いOK/レンタル車あり☆応募者全員面接◎,500万円～750万円,【原則自由/直行直帰OK】 ◎選べる業務エリア 本人の希望に合わせ、 案件に空きがあれば好きなエリ…
104,株式会社ディーライン | ☆週休2日制／土日休み／賞与年2回／手当充実☆,,★業務拡大中につき「本社勤務」積極採用中です！ ☆転勤はありません！希望勤務地考慮します。 本社／…
105,株式会社サンラインズ | ライフスタイルに対応！固定給制 or 固定給＋歩合給制が選べます,,＜転勤なし／京都に根付いて働けます＞ 京都府綴喜郡宇治田原町大字岩山小字釜井谷1‐45 ※マイカー…
106,株式会社秀栄電設 | ★転勤なし ★残業月10時間程度 ★若手社員が活躍中,,＼現場はほとんど仙台市内／ 宮城県仙台市若林区三本塚字沼屋敷浦75-8 ※バイク・マイカー通勤OK
107,株式会社優誠 | 【関西で急成長中企業】ノルマなし＆成約率は50％以上！,300万円～850万円,【最寄り駅から徒歩3分の好立地】 ★転勤なし！ ★2019年7月にオフィスを移転・拡大しました 大…
108,株式会社トーマ東海 | スピード選考実施中！面接１回★最短即日内定OK,300万円～550万円,【名古屋市／弥富市／一宮市のいずれかでの勤務】 ★勤務地は希望を考慮 ★岐阜県、三重県、一宮市、三…
109,株式会社トーマ東海 | UIターン・県外からの応募も歓迎！／WEB面接OK,300万円～600万円,【小牧営業所(春日井市)での勤務】 ★マイカー通勤OK 【小牧営業所】 愛知県春日井市桃山町2-2…
110,エア・ウォーター食品物流株式会社 | 【東証一部上場のエア・ウォーターのグループ会社】,300万円～400万円,【マイカー通勤OK／転勤なし！】 ■青森営業所 青森県青森市大字三内字丸山381番地
111,株式会社トーマ東海 | 新拠点開設予定の成長企業／WEB面接可／電話問合せ0120-1068-39,300万円～550万円,【大府支店での勤務】 ★マイカー通勤OK 【大府支店】 愛知県大府市北崎町峯下27-1 …名鉄名古…
112,株式会社DIO・ONE | 新事業スターティング募集！【大阪府緊急雇用対策に賛同】,360万円～1000万円,【大阪本社】 大阪市中央区心斎橋筋1-1-1 心斎橋クラシック7F ※転勤なし／U・Iターン歓迎
